Sample	Engine	FDR	Accepted
MKK18	MYRIMATCH	0.494	3837
MKK18	MYRIMATCH	0.495	3837
MKK18	MYRIMATCH	0.496	3837
MKK18	MYRIMATCH	0.497	3837
MKK18	MYRIMATCH	0.498	3837
MKK18	MYRIMATCH	0.499	3837
MKK18	MYRIMATCH	0.5	4117
MKK18	COMBINED	0	1200
MKK18	COMBINED	0.001	1200
MKK18	COMBINED	0.002	1200
MKK18	COMBINED	0.003	1200
MKK18	COMBINED	0.004	1200
MKK18	COMBINED	0.005	1215
MKK18	COMBINED	0.006	1284
MKK18	COMBINED	0.007	1296
MKK18	COMBINED	0.008	1655
MKK18	COMBINED	0.009	1656
MKK18	COMBINED	0.01	1679
MKK18	COMBINED	0.011	1765
MKK18	COMBINED	0.012	1765
MKK18	COMBINED	0.013	1791
MKK18	COMBINED	0.014	1810
MKK18	COMBINED	0.015	1810
MKK18	COMBINED	0.016	1825
MKK18	COMBINED	0.017	1828
MKK18	COMBINED	0.018	1828
MKK18	COMBINED	0.019	1898
MKK18	COMBINED	0.02	1898
MKK18	COMBINED	0.021	1917
MKK18	COMBINED	0.022	1917
MKK18	COMBINED	0.023	1927
MKK18	COMBINED	0.024	1929
MKK18	COMBINED	0.025	1931
MKK18	COMBINED	0.026	1939
MKK18	COMBINED	0.027	1961
MKK18	COMBINED	0.028	2059
MKK18	COMBINED	0.029	2067
MKK18	COMBINED	0.03	2073
MKK18	COMBINED	0.031	2078
MKK18	COMBINED	0.032	2100
MKK18	COMBINED	0.033	2100
MKK18	COMBINED	0.034	2104
MKK18	COMBINED	0.035	2158
MKK18	COMBINED	0.036	2159
MKK18	COMBINED	0.037	2159
MKK18	COMBINED	0.038	2159
MKK18	COMBINED	0.039	2176
MKK18	COMBINED	0.04	2207
MKK18	COMBINED	0.041	2223
MKK18	COMBINED	0.042	2230
MKK18	COMBINED	0.043	2230
MKK18	COMBINED	0.044	2246
MKK18	COMBINED	0.045	2270
MKK18	COMBINED	0.046	2312
MKK18	COMBINED	0.047	2313
MKK18	COMBINED	0.048	2324
MKK18	COMBINED	0.049	2324
MKK18	COMBINED	0.05	2326
MKK18	COMBINED	0.051	2326
MKK18	COMBINED	0.052	2326
MKK18	COMBINED	0.053	2334
MKK18	COMBINED	0.054	2334
MKK18	COMBINED	0.055	2370
MKK18	COMBINED	0.056	2372
MKK18	COMBINED	0.057	2372
MKK18	COMBINED	0.058	2373
MKK18	COMBINED	0.059	2413
MKK18	COMBINED	0.06	2414
MKK18	COMBINED	0.061	2414
MKK18	COMBINED	0.062	2414
MKK18	COMBINED	0.063	2429
MKK18	COMBINED	0.064	2431
MKK18	COMBINED	0.065	2431
MKK18	COMBINED	0.066	2431
MKK18	COMBINED	0.067	2460
MKK18	COMBINED	0.068	2460
MKK18	COMBINED	0.069	2460
MKK18	COMBINED	0.07	2469
MKK18	COMBINED	0.071	2469
MKK18	COMBINED	0.072	2499
MKK18	COMBINED	0.073	2499
MKK18	COMBINED	0.074	2499
MKK18	COMBINED	0.075	2502
MKK18	COMBINED	0.076	2504
MKK18	COMBINED	0.077	2518
MKK18	COMBINED	0.078	2518
MKK18	COMBINED	0.079	2523
MKK18	COMBINED	0.08	2530
MKK18	COMBINED	0.081	2530
MKK18	COMBINED	0.082	2532
MKK18	COMBINED	0.083	2532
MKK18	COMBINED	0.084	2585
MKK18	COMBINED	0.085	2585
MKK18	COMBINED	0.086	2585
MKK18	COMBINED	0.087	2610
MKK18	COMBINED	0.088	2610
MKK18	COMBINED	0.089	2614
MKK18	COMBINED	0.09	2614
MKK18	COMBINED	0.091	2653
MKK18	COMBINED	0.092	2653
MKK18	COMBINED	0.093	2653
MKK18	COMBINED	0.094	2653
MKK18	COMBINED	0.095	2653
MKK18	COMBINED	0.096	2661
MKK18	COMBINED	0.097	2680
MKK18	COMBINED	0.098	2680
MKK18	COMBINED	0.099	2680
MKK18	COMBINED	0.1	2728
