Sample	Engine	FDR	Accepted
MK13	COMET	0.904	12201
MK13	COMET	0.905	12206
MK13	COMET	0.906	12206
MK13	COMET	0.907	12206
MK13	COMET	0.908	12206
MK13	COMET	0.909	12206
MK13	COMET	0.91	12233
MK13	COMET	0.911	12235
MK13	COMET	0.912	12236
MK13	COMET	0.913	12236
MK13	COMET	0.914	12238
MK13	COMET	0.915	12239
MK13	COMET	0.916	12239
MK13	COMET	0.917	12255
MK13	COMET	0.918	12255
MK13	COMET	0.919	12255
MK13	COMET	0.92	12259
MK13	COMET	0.921	12259
MK13	COMET	0.922	12259
MK13	COMET	0.923	12259
MK13	COMET	0.924	12276
MK13	COMET	0.925	12276
MK13	COMET	0.926	12276
MK13	COMET	0.927	12276
